video_id,comment
MBxPu-HSQlI,"ラプたん「人間レベルじゃねーっすよ！」

ロボットなんだよなぁ・・・"
MBxPu-HSQlI,ラミー！
MBxPu-HSQlI,コナミコマンド言わせるのかと思ったら違うのかw
MBxPu-HSQlI,これ好き
MBxPu-HSQlI,さすがロボ子さん高性能w
MBxPu-HSQlI,ロボちゃん高性能☺️
MBxPu-HSQlI,ロボ子さんからは絶対に出ないワード達が出た
MBxPu-HSQlI,ラミィかわいい
MBxPu-HSQlI,リア友に言われるのか〜、そりゃ竿役でも描かれるわな（？）
MBxPu-HSQlI,さすが高性能
MBxPu-HSQlI,ヘリウムリチウムベリリウムがホロライブ事務所には漂ってるみたいです
MBxPu-HSQlI,"I'm impressed with Roboco-san for understanding those are actually DIRECTIONS 👀 

And also 






Plot Twist; they're actually the cheatcodes!"
MBxPu-HSQlI,PON成分多くても高性能ロボットだからな…
MBxPu-HSQlI,Roboco tiene ojos de camara de francotirador. lol
MBxPu-HSQlI,"原子も見えてる！
の声好き"
MBxPu-HSQlI,最後のラミィちゃんなんかロボみたいな声になっとるw
MBxPu-HSQlI,행복커맨드가 숨겨져있군요
MBxPu-HSQlI,人間じゃないからね💧‬笑
MBxPu-HSQlI,ラプラス病院のおじさんのモノマネうますぎやろ
MBxPu-HSQlI,"視力検査レベル1億
空いてる部分だけ1nm
丸自体は30cm"
MBxPu-HSQlI,ロボ子さんだから全部正解してると思いきや隠してる目を間違えてるみたいなオチかと思ったのに
MBxPu-HSQlI,おかしい…、おかしい…、なぜ、ロボ子さんがヘリウムリチウムベリリウムを知っている…？
MBxPu-HSQlI,流石に素粒子までは見えないか…
MBxPu-HSQlI,リチウムとベリリウムはどこにあるんだw
MBxPu-HSQlI,原子も見えてるロボ子さん可愛すぎる
MBxPu-HSQlI,くそわろた笑笑
MBxPu-HSQlI,ラプラスも人間ではないだろう！
MBxPu-HSQlI,ナースでもかわいい
MBxPu-HSQlI,ラプラスの手が見える貴重な神回
MBxPu-HSQlI,"ヘリウムリチウムはまだしも
なんでベリリウムあるんだよ"
MBxPu-HSQlI,ロボ子さんにKONAMIコマンド打ち込んでみたいな
MBxPu-HSQlI,コナミコマンドみたいになっとる
MBxPu-HSQlI,"さすがロボ子さん！
そしてラミィちゃんのツッコミも絶好調だw"
MBxPu-HSQlI,ロボ子さん、ポンコツなのもしや人間規格に合わせるのが難しいレベルに高性能だからなだけなのでは……？
MBxPu-HSQlI,ラプちゃん ロボ子さんになんかコマンド入力しようとしてない？
MBxPu-HSQlI,どこからヘリウムリチウムベリリウムが見えてんだよ
MBxPu-HSQlI,"最後ラプチャンが指してるのは画面左下奥。ヘリウムは常温で気体で他は個体。リチウムはすぐ空気と反応しちゃう。きっと画面左下には単体が入れられた試薬瓶のような容器があるんだな...


もしくはてきとーに原子番号2番から読んでる"
MBxPu-HSQlI,最後なんで分身したみたい声なん？
MBxPu-HSQlI,ロボ子さん、高性能だな(*´∇｀*)ほわほわ～♪
MBxPu-HSQlI,で？おじさんと何故おじさんがいて草
MBxPu-HSQlI,見えたとて、なんでわかるんだ…………
MBxPu-HSQlI,らぷちゃん、君も人間じゃないでしょ？
