video_id,comment
nmtEc6sVMA4,お疲れ様✨
nmtEc6sVMA4,🤍🤍🤍🖤💖💖💖
nmtEc6sVMA4,"Thanks for the stream, Botan. Take care. ♌"
nmtEc6sVMA4,"🌿Временные метки🌿 Перевод DeepL
1:57 Начало
2:12 Открытая демоверсия бета-версии
2:27 Теннис нет Oujisama 🤣
~~~~~~
Действие приключенческая игра, где вы стремитесь бежать из города, сосредоточенного вокруг гигантского полицейского, Millishoner, который башни над облаками.
~~~~~~
Начало игры 5:12
5:18 🎥 Фильм
5:50 Диалог на основе выбора
7:37 Должен держать полицейского счастливым?
8:50 Чтение Руководства
10:08 Поезд, по-видимому, прибывает ежедневно в 1 вечера
11:03 Ключ
11:17 Захвачены 💦
12:37 Профальсифицированный билет (красные предметы незаконны)
15:02 Бегство
17:31 Карта
19:47 Наблюдение 🤣
21:13 Станция
21:32 Поговорите с клерком билетов
23:17 Офицер расстроился 💦
26:05 Кот
27:07 Стивен Сигал стиль невозможно?
28:38 Магазин товаров
30:14 Передавать кошку
30:29 Кошка сбежала 💦
31:10 Сглаживайте разговор
36:07 Trespassing 💦
37:43 Caught 💦
38:59 Украсть вещи от спального полицейского
39:26 Скрыть💦
40:22 Поговорите с жителем скважины
45:00 Превратить незаконный билет в законный
46:09 Стоп и вопрос💦
48:10 Не могу заплатить штраф💦
52:00 Спираль долга🤣
54:14 Продажа предметов💰
55:05 Теперь наш шанс, пока полицейский спит?
55:38 Уголовная деятельность💦
57:26 Получите билет
57:49 Поезд отправляется в 13.00
1:01:03 Что стоит продать?🤣
1:02:15 Полученные инструменты для захвата замков
1:04:07 Полицейский слишком устал, чтобы проснуться? 🤣
1:06:18 Вошел в поезд
1:06:38 Получены сообщения 💦
1:07:40 Cleared 🚩
~~~~~~
1:08:57 ◆Второй пробег (хочу избежать другого пути)
1:09:24 Разговор с полицейским
1:16:04 Ограбитель опытный 🤣
1:18:06 Опытные методы 🤣
1:19:14 Полученные цветы
1:20:20 Передано цветы
1:20:43 Получить билет
1:21:06 Полицейский сердится 💦
1:21:21 тюрьма 💀
1:22:22 ◆Continue
1:24:25 100 руб. штраф
1:25:22 Игра замерзает из-за движения слишком быстро 🤣
~~~~~~
1:27:00 ◆Возвращение
1:29:00 Успокоить полицейского
1:30:42 Возьмите все, что вы можете украсть 🤣
1:32:12 Продажа предметов
1:34:35 Высокоскоростные кражи 🤣
1:35:01 Дайте цветы
1:35:26 Незаконная деятельность 💦
1:36:08 тюрьма💀
1:36:36 ◆Continue
1:40:12 Hard Off🤣
1:40:54 Пострадавшие💀🤣
1:41:13 ◆Continue
1:41:25 выходной день?
1:41:57 Полицейский, кажется, не работает 🤣
1:43:54 Новый маршрут
1:44:55 Нужен свет?
1:52:46 Полицейский, по-видимому, хочет 3 цветы
1:57:15 Гараж
2:01:53 Injury 💀
2:02:15 ◆Continue
2:02:32 Предупреждено о падении 🤣
2:08:50 штраф: 90 рублей
2:11:35 Найдено лестницу
2:13:00 IQ 200
2:17:17 Особый подарок... пиклы 🤣
2:21:15 Возвращение к билетной кассе
2:24:38 Полицейский сердится💦
2:29:51 Просыпайтесь полицейский и разговаривайте
2:33:29 Получить билет
2:34:00 Отъезд
2:34:53 Клир🚩
~~~~~~
2:36:08 ED"
nmtEc6sVMA4,"🌿Timestamps🌿 Translation by DeepL
1:57 Start
2:12 Open beta demo version
2:27 Tennis no Oujisama 🤣
~~~~~~
An action adventure game where you aim to escape from a town centered around a gigantic police officer, Millishoner, who towers above the clouds.
~~~~~~
5:12 Game Start
5:18 🎥 Movie
5:50 Choice-Based Dialogue
7:37 Gotta keep the cop happy?
8:50 Reading the Manual
10:08 Train apparently arrives daily at 1 PM
11:03 Key
11:17 Trapped 💦
12:37 Counterfeit ticket (red items are illegal)
15:02 Escape
17:31 Map
19:47 Being watched 🤣
21:13 Station
21:32 Talk to ticket clerk
23:17 Officer got upset 💦
26:05 Cat
27:07 Steven Seagal-style impossible?
28:38 Item shop
30:14 Hand over cat
30:29 Cat escaped 💦
31:10 Smooth things over with conversation
36:07 Trespassing 💦
37:43 Caught 💦
38:59 Steal items from sleeping cop
39:26 Hide💦
40:22 Talk to manhole resident
45:00 Turn illegal ticket into legal one
46:09 Stop and question💦
48:10 Can't pay fine💦
52:00 Debt spiral🤣
54:14 Sell items💰
55:05 Now's our chance while the cop's asleep?
55:38 Criminal activity💦
57:26 Get the ticket
57:49 Train departs at 1 PM
1:01:03 Anything worth selling?🤣
1:02:15 Obtained lock-picking tools
1:04:07 Is the cop too tired to wake up? 🤣
1:06:18 Boarded the train
1:06:38 Got reported 💦
1:07:40 Cleared 🚩
~~~~~~
1:08:57 ◆Second Run (Want to escape a different way)
1:09:24 Conversation with the cop
1:16:04 The burglar is experienced 🤣
1:18:06 Experienced methods 🤣
1:19:14 Obtained flowers
1:20:20 Handed over the flowers
1:20:43 Receive ticket
1:21:06 Cop is angry 💦
1:21:21 Prison 💀
1:22:22 ◆Continue
1:24:25 100 ruble fine
1:25:22 Game freezes due to moving too fast 🤣
~~~~~~
1:27:00 ◆Restart
1:29:00 Comfort the cop
1:30:42 Take everything you can steal 🤣
1:32:12 Sell items
1:34:35 High-speed theft 🤣
1:35:01 Give flowers
1:35:26 Illegal activity 💦
1:36:08 Prison💀
1:36:36 ◆Continue
1:40:12 Hard Off🤣
1:40:54 Injured💀🤣
1:41:13 ◆Continue
1:41:25 Day off?
1:41:57 Cop seems to be off duty 🤣
1:43:54 New route
1:44:55 Need a light?
1:52:46 Cop apparently wants 3 flowers
1:57:15 Garage
2:01:53 Injury 💀
2:02:15 ◆Continue
2:02:32 Warned about falling 🤣
2:08:50 Fine: 90 rubles
2:11:35 Found a ladder
2:13:00 IQ 200
2:17:17 The special gift is... pickles 🤣
2:21:15 Back route to ticket booth
2:24:38 Cop is angry💦
2:29:51 Wake up cop and talk
2:33:29 Obtain ticket
2:34:00 Departure
2:34:53 Clear🚩
~~~~~~
2:36:08 ED"
nmtEc6sVMA4,Спасибо за стрим! Было очень весело
nmtEc6sVMA4,"There was a review of this game in The Guardian a while, I'm impressed Botan is having a go.  Kinda feels like Holo EN is fixated on just a few games right now while JP and ID are more varied."
nmtEc6sVMA4,Это было неожиданно
nmtEc6sVMA4,途中で寝てしまったので今から観ます
nmtEc6sVMA4,
nmtEc6sVMA4,
nmtEc6sVMA4,"Спасибо за стрим, очень позновательно"
nmtEc6sVMA4,"何度も言いたかったけど、opの音楽好きだ
ししろんの選ぶゲームも好き"
nmtEc6sVMA4,😁😁😁🤍💕☺️☺️☺️🤍💕
nmtEc6sVMA4,脱出ゲーム配信お疲れ様です！
nmtEc6sVMA4,"Great job of escaping from the giant policeman's gaze and from his injustice(?) in the Militioner stream, Botan-san!"
nmtEc6sVMA4,配信お疲れ様でした
nmtEc6sVMA4,"🌿タイムスタンプ🌿
1:57 スタート
2:12 オープンベータのデモ版
2:27 テニプリ🤣
~~~~~~
雲を突き抜けるほど巨大な警官ミリッショナーが中心に座る町からの脱出を目指すアクションアドベンチャーゲーム
~~~~~~
5:12 ゲームスタート
5:18 🎥ムービー
5:50 選択式の会話
7:37 警官の機嫌を取らないといけない？
8:50 マニュアルを読む
10:08 毎日13時に列車が来るらしい
11:03 鍵
11:17 閉じ込められた💦
12:37 偽造キップ（赤いアイテムは違法品）
15:02 脱出
17:31 地図
19:47 見られてる🤣
21:13 駅
21:32 出札係と会話
23:17 警官が不機嫌になった💦
26:05 猫
27:07 セガール式乗車は無理？
28:38 アイテムショップ
30:14 猫を渡す
30:29 猫が逃げた💦
31:10 会話で機嫌を取る
36:07 不法侵入💦
37:43 捕まった💦
38:59 寝ている警官からアイテムを盗む
39:26 隠れろ💦
40:22 マンホールの住人と話す
45:00 違法切符を合法切符にする
46:09 職務質問💦
48:10 罰金が払えない💦
52:00 借金で負のループ🤣
54:14 アイテム売却💰
55:05 警官が寝ている今がチャンス？
55:38 犯罪行為💦
57:26 切符を入手
57:49 電車は13時発車
1:01:03 売れる物ないかな？🤣
1:02:15 ピッキングツールを入手
1:04:07 警官が疲れて起きない？🤣
1:06:18 電車に乗り込む
1:06:38 通報された💦
1:07:40 クリア🚩
~~~~~~
1:08:57 ◆2周目（違う方法で脱出したい）
1:09:24 警官との会話
1:16:04 空き巣が手慣れてる🤣
1:18:06 手慣れた手段🤣
1:19:14 花を入手
1:20:20 花を渡す
1:20:43 切符を貰う
1:21:06 警官が怒っている💦
1:21:21 刑務所💀
1:22:22 ◆コンテニュー
1:24:25 罰金100ルーブル
1:25:22 あまりにも高速移動でゲームフリーズ🤣
~~~~~~
1:27:00 ◆リスタート
1:29:00 警官を慰める
1:30:42 盗める物は全部持っていく🤣
1:32:12 アイテム売却
1:34:35 高速窃盗🤣
1:35:01 花を渡す
1:35:26 違法行為💦
1:36:08 刑務所💀
1:36:36 ◆コンテニュー
1:40:12 ハードオフ🤣
1:40:54 負傷💀🤣
1:41:13 ◆コンテニュー
1:41:25 休日？
1:41:57 警官は休日らしい🤣
1:43:54 新たなルート
1:44:55 ライトが必要？
1:52:46 警官が花3本欲しいらしい
1:57:15 ガレージ
2:01:53 負傷💀
2:02:15 ◆コンテニュー
2:02:32 落下を注意される🤣
2:08:50 罰金90ルーブル
2:11:35 ハシゴ発見
2:13:00 IQ200
2:17:17 特別なプレゼントは・・・漬物🤣
2:21:15 切符売り場の裏ルート
2:24:38 警官が怒ってる💦
2:29:51 警官を起こして会話する
2:33:29 切符を入手
2:34:00 発車
2:34:53 クリア🚩
~~~~~~
2:36:08 ED"
nmtEc6sVMA4,Спасибо за стрим!🤍
nmtEc6sVMA4,"トゥルーエンドがどういう風になるのか気になる不思議なゲーム
盗みの手際どんどん良くなって、無言でポリゴンねこちゃん攫っていくの笑う"
nmtEc6sVMA4,"ししろんおつかれ〜
Militsioner 配信ありがとう！
楽しかった！
次回の配信も楽しみにしています"
nmtEc6sVMA4,お疲れ様でした
nmtEc6sVMA4,♌🤍🖤🌟✨️おつら〜いおん♌🤍🖤🌟✨️
nmtEc6sVMA4,"獅白ぼたんさん配信お疲れ様です！
不思議な世界感のゲームで見てて楽しかったしドデカい警官も成長したりヒゲを剃ったり色々見どころがあって面白いね〜完全版ができるのが楽しみなゲームですな〜
また来ますねぇ〜"
nmtEc6sVMA4,お疲れ様でした！
nmtEc6sVMA4,ボタンちゃん、配信お疲れ様でした！🌟💕
nmtEc6sVMA4,Thank you for the fun stream Botan!
nmtEc6sVMA4,お疲れ様でした🤍
nmtEc6sVMA4,
nmtEc6sVMA4,配信ありがとうございますお疲れ様です！
nmtEc6sVMA4,Спасибо тебе Шиширон за этот прекрасный стрим! Это сделало мой день!
nmtEc6sVMA4,配信辛苦了
nmtEc6sVMA4,お疲れ様でした ししろん!
nmtEc6sVMA4,おもしろろんろんだね🥰
nmtEc6sVMA4,"お疲れ様ですよ～
たのしかったねぇ～"
